dcateCd,mcateCd,mcateNm,scateCd,scateNm,dcateNm,lcateCd,lcateNm,avgOrderInterval,moreThan1,moreThan2
4104524,2100146,시계/쥬얼리,3100810,귀걸이/피어싱,피어싱,1100023,패션 신발/잡화,9.0,276,76
4105249,2100025,국내도서,3100986,경제경영,창업,1100005,도서/교육/음반,80.0,52,4
4101604,2100047,고양이용품,3100305,고양이 간식/영양제,고양이 영양제/비타민,1100009,반려동물용품,30.571428571428573,205,16
4104951,2100160,제습/방향/살충제,3100873,방충/살충제,이외 살충제,1100026,세제/구강,29.0,185,7
4102256,2100069,골프,3100412,골프백,항공커버,1100013,스포츠/레저용품,1.0,127,6
238020115,238020000,공구/산업자재,238020100,공구/산업자재,용접공구,238000000,스포츠/자동차,4.666666666666667,194,7
4101976,2100062,남성 의류,3100373,남성 청바지/데님 팬츠,스키니진,1100011,브랜드 의류,5.5,51,10
4102827,2100085,채소/두부/나물,3100506,오이/고추/옥수수/열매채소,이외 열매채소,1100014,신선식품,22.5,174,14
4103448,2100099,가정생활잡화,3100618,생활/주거 잡화,우산/양산,1100019,주방/욕실/생활용품,13.478991596638656,4106,448
239020301,239020000,스포츠 의류,239020300,남성 티셔츠/상의,긴팔 티셔츠,239000000,스포츠패션,17.504504504504503,13793,1570
240020205,240020000,건강식품,240020200,다이어트식품,미용보조식품,240000000,식품/건강,30.726,24331,2895
4103859,2100117,작동완구,3100681,모형완구,이외 작동/모형완구,1100017,유아동/출산/완구,21.914171656686626,9608,1413
233080103,233080000,주방가전,233080100,주방가전,기타 조리기기,233000000,디지털/가전,13.75,1373,71
4100002,2100084,생선/건해산물,3100488,건어물,숏다리/꾸이맨,1100014,신선식품,26.51851851851852,360,31
4101542,2100044,샴푸/린스/케어,3100294,트리트먼트,헤어 팩,1100008,바디/헤어,35.96296296296296,1090,49
4104255,2100133,노트북/태블릿 액세서리,3100749,태블릿 보호필름/강화유리,태블릿 강화유리,1100022,컴퓨터/태블릿,12.285714285714286,1227,77
4100273,2100008,조명/인테리어,3100048,전구/형광등,LED 전구,1100001,가구/침구/인테리어,9.3125,1183,111
4104571,2100147,여성화,3100817,여성 단화,이외 여성 단화,1100023,패션 신발/잡화,5.894736842105263,623,42
4105020,2100163,국내-기초케어/팩,3100887,국내-에센스/오일,페이스 오일,1100027,화장품,35.36363636363637,471,50
4103800,2100186,블록/교육/퍼즐,3100671,유아 퍼즐,종이/입체 퍼즐,1100017,유아동/출산/완구,5.0,87,5
4100152,2100006,가구/DIY/시공,3100026,밥상/식탁,6인 이상 식탁,1100001,가구/침구/인테리어,1.6,348,26
4100538,2100011,이미용가전,3100104,고데기/매직기/아이롱,유닉스,1100002,가전,13.142857142857142,1661,47
4100782,2100015,건강관리용품,3100161,코/호흡/수면건강 관리,게르마늄팔찌/건강팔찌,1100003,건강/의료용품,5.142857142857143,105,9
4103099,2100093,육아용품,3100559,유모차/카시트 용품,캐릭터 햇빛가리개,1100017,유아동/출산/완구,12.076923076923077,763,27
4102877,2100088,트렌드 잠옷/홈웨어,3100516,슬립/캐미솔,캐미솔/슬립,1100015,언더웨어,10.666666666666666,641,76
4101004,2100025,국내도서,3100194,역사/자연/과학,이외 역사/자연/과학,1100005,도서/교육/음반,27.571428571428573,162,11
4104520,2100146,시계/쥬얼리,3100810,귀걸이/피어싱,실버(은) 귀걸이,1100023,패션 신발/잡화,19.0,93,10
4104731,2100152,남성 의류,3100844,남성 캐주얼 바지/팬츠,쿨팬츠,1100024,패션 의류,5.0,176,16
4102184,2100066,생리대/성인기저귀,3100399,성인용기저귀/위생패드,백조패드/산모패드,1100012,화장지/물티슈/생리대,43.0,16,2
4102522,2100077,캠핑/낚시,3100464,캠핑 취사/조리도구,코펠,1100013,스포츠/레저용품,10.6,800,43
4102539,2100077,캠핑/낚시,3100468,텐트,돔텐트,1100013,스포츠/레저용품,12.0,258,11
4101521,2100043,바디케어/워시/제모,3100289,청결제,이외 청결제,1100008,바디/헤어,11.75,366,10
4104549,2100146,시계/쥬얼리,3100813,선글라스/안경테,여성 선글라스,1100023,패션 신발/잡화,10.0,47,3
4100963,2100025,국내도서,3100189,결혼/출산/육아 도서,육아 도서,1100005,도서/교육/음반,28.4,449,39
4103995,2100121,문구/사무용품,3100705,칠판보드/게시판,분필/분필지우개,1100020,취미/문구/놀이,63.5,92,35
4102005,2100062,남성 의류,3100376,남성 티셔츠,스트라이프 티셔츠,1100011,브랜드 의류,2.0,24,1
4101631,2100047,고양이용품,3100309,고양이 캣타워/놀이용품,고양이 터널/큐브,1100009,반려동물용품,2.0,41,2
4102312,2100070,구기/라켓,3100422,탁구 용품,탁구공,1100013,스포츠/레저용품,2.0,85,4
4103489,2100102,수납/정리용품,3100624,리빙박스/정리함,원단/패브릭 리빙박스,1100019,주방/욕실/생활용품,8.64,1521,151
4101586,2100046,강아지용품,3100302,강아지 사료,이외 소형견 사료,1100009,반려동물용품,36.16793893129771,1508,226
4101691,2100051,가방,3100323,남성/공용 가방,숄더/크로스백,1100010,브랜드 신발/잡화,9.944444444444445,1357,69
237020203,237020000,문구/사무용품,237020200,설치/제작,보드/칠판,237000000,생활/주방,11.976190476190476,2208,159
243020501,243020000,언더웨어/잠옷,243020500,해외브랜드 속옷,남성속옷,243000000,의류/소호,17.33203125,8182,599
4104605,2100148,지갑/벨트,3100823,여성 지갑,중지갑/반지갑,1100023,패션 신발/잡화,5.066666666666666,775,35
4101660,2100049,반려동물 공용품,3100315,반려동물 방석/하우스,반려동물 쿨매트/쿨방석,1100009,반려동물용품,28.123809523809523,1019,129
4102668,2100083,김치/반찬,3100485,김치,절임배추/김치양념,1100014,신선식품,6.791208791208791,2330,471
4100061,2100002,조미료/소스/설탕,3100010,소스/드레싱,시저/아일랜드/마요네즈 드레싱,1100000,가공식품,33.86666666666667,230,24
4102402,2100076,자전거,3100445,아동/어린이 자전거,보조바퀴 자전거,1100013,스포츠/레저용품,4.0,324,35
4101240,2100033,카메라/렌즈/액세서리,3100232,디지털 카메라,니콘,1100006,디지털/휴대폰/카메라,3.0,76,1
4104819,2100154,여성 의류,3100856,여성 블라우스/셔츠,무지/민무늬 셔츠,1100024,패션 의류,12.333333333333334,476,33
4103198,2100095,공구/설비/자재,3100576,목공/수공구/연결용품,못/나사/볼트/너트,1100018,자동차/공구,11.0,169,24
4105743,2100202,여성의류,3101057,아우터,야상/점퍼,1100035,소호패션,5.285714285714286,257,17
4101963,2100062,남성 의류,3100370,남성 니트/스웨터/가디건,폴라 니트,1100011,브랜드 의류,1.0,69,4
4100149,2100006,가구/DIY/시공,3100025,매트리스,접이식 매트리스,1100001,가구/침구/인테리어,5.375,267,18
4103902,2100120,꽃/원예/이벤트용품,3100689,원예/정원용품,이외 원예/정원용품,1100020,취미/문구/놀이,3.4285714285714284,215,48
232030803,232030000,온라인교육,232030800,취미/교양,취미/교양 기타,232000000,도서/교육,11.666666666666666,59,5
4101907,2100060,패션 잡화/소품,3100361,장갑,암워머/팔토시,1100010,브랜드 신발/잡화,4.0,77,6
4102475,2100077,캠핑/낚시,3100456,뜰채/그물망,통발,1100013,스포츠/레저용품,4.0,78,17
4104519,2100146,시계/쥬얼리,3100810,귀걸이/피어싱,보석 귀걸이,1100023,패션 신발/잡화,6.0,13,3
