,biz_dt,mid,price,prodNo,dcateCd,dcateNm
645,2018-08-29 15:29:05,25599057,516000,101575773,4101182,Playstation
27,2018-08-29 15:44:37,5972209,516000,106327483,4101182,Playstation
872,2018-08-29 17:17:24,4790864,404000,106329551,4101182,Playstation
847,2018-08-29 18:47:51,9536869,363000,101576275,4101182,Playstation
24,2018-08-29 22:18:12,9527738,516000,106327483,4101182,Playstation
618,2018-08-29 22:49:08,9527738,516000,101575773,4101182,Playstation
26,2018-08-30 00:28:28,1954978,516000,106327483,4101182,Playstation
816,2018-08-30 09:14:01,17222661,515000,105241314,4101182,Playstation
625,2018-08-30 09:28:21,23603864,516000,101575773,4101182,Playstation
31,2018-08-30 13:32:32,11899490,516000,106327483,4101182,Playstation
910,2018-08-30 15:12:22,12978404,404000,106329551,4101182,Playstation
636,2018-08-30 17:38:21,1721793,516000,101575773,4101182,Playstation
892,2018-08-30 17:45:07,14725410,404000,106329551,4101182,Playstation
