,time
1990,16.0
1991,3.0
1992,11.0
1993,45.0
1994,8.0
1995,11.0
1996,7.0
1997,22.0
1999,36.0
2002,97.0
2003,15.0
2005,23.0
2006,17.0
2007,22.0
2008,9.0
2010,3.0
2014,90.0
2016,55.0
2018,58.0
2019,24.0
2020,22.0
2021,96.0
2023,81.0
2025,80.0
2026,9.0
2027,118.0
2029,155.0
2033,28.0
2034,30.0
2035,31.0
2036,17.0
2037,19.0
2038,15.0
2040,6.0
2041,1.0
2045,39.0
2046,56.0
2048,56.0
2049,99.0
2052,129.0
2054,87.0
2055,59.0
2056,59.0
2058,170.0
2060,12.0
2061,19.0
2063,196.0
2064,2.0
2066,146.0
2067,51.0
2069,11.0
2070,28.0
2071,41.0
2072,25.0
2074,72.0
2075,12.0
2077,25.0
2079,89.0
2080,30.0
2081,30.0
2082,30.0
2084,15.0
2085,89.0
2086,16.0
2088,168.0
2089,33.0
2091,32.0
2092,27.0
2093,67.0
2094,20.0
2095,41.0
2098,34.0
2099,161.0
2101,170.0
2104,78.0
2105,85.0
2106,44.0
2108,12.0
2109,38.0
2110,11.0
2111,22.0
2112,104.0
2113,20.0
2115,60.0
2117,30.0
2118,21.0
2119,10.0
2120,25.0
2121,13.0
2122,21.0
2123,2.0
2124,16.0
2126,15.0
2130,94.0
2132,94.0
2133,28.0
2134,8.0
2135,71.0
2138,39.0
2139,18.0
2140,8.0
2141,7.0
2142,14.0
2143,5.0
2144,5.0
2145,15.0
2146,5.0
2147,11.0
2148,11.0
2149,5.0
2150,4.0
2151,10.0
2152,8.0
2153,8.0
2154,13.0
2156,8.0
2158,62.0
2161,12.0
2163,29.0
2164,22.0
2166,78.0
2168,36.0
2171,28.0
2172,13.0
2175,44.0
2176,26.0
2178,21.0
2179,8.0
2180,6.0
2181,5.0
2182,1.0
2183,8.0
2186,129.0
2188,29.0
2189,57.0
2191,25.0
2193,32.0
2194,45.0
2195,3.0
2196,10.0
2197,32.0
2198,6.0
2200,59.0
2201,3.0
2202,22.0
2203,10.0
2204,15.0
2206,23.0
2207,21.0
2209,25.0
2210,3.0
2212,3.0
2213,1.0
2214,4.0
2215,10.0
2217,65.0
2219,42.0
2222,110.0
2223,47.0
2225,56.0
2226,5.0
2227,19.0
2228,2.0
2229,11.0
2230,21.0
2231,36.0
2232,39.0
2238,157.0
2239,18.0
2242,1.0
2243,22.0
2245,53.0
2246,18.0
2247,19.0
2248,3.0
2249,33.0
2251,150.0
2252,45.0
2255,97.0
