,biz_dt,mid,price,prodNo,dcateCd,dcateNm
411,2018-08-20 10:40:14,23740747,799000,100231673,4104294,이외 브랜드
429,2018-08-20 11:18:10,1446641,134900,100043331,4104294,이외 브랜드
193,2018-08-20 11:18:32,5347173,69000,101330033,4104294,이외 브랜드
469,2018-08-20 11:21:03,1446641,87900,100101299,4104294,이외 브랜드
462,2018-08-20 11:23:21,1446641,93000,101376413,4104294,이외 브랜드
709,2018-08-20 11:53:14,1446641,103000,101356704,4104294,이외 브랜드
704,2018-08-20 13:35:55,2791392,189000,101633064,4104294,이외 브랜드
303,2018-08-20 14:00:17,4344801,189000,101177415,4104294,이외 브랜드
431,2018-08-20 14:22:48,5164996,134900,100043331,4104294,이외 브랜드
587,2018-08-20 14:37:12,9263255,309000,100101298,4104294,이외 브랜드
424,2018-08-20 17:14:57,13442227,134900,100043331,4104294,이외 브랜드
336,2018-08-20 17:26:59,25252192,79000,100189893,4104294,이외 브랜드
803,2018-08-20 17:27:38,14225858,269000,100877628,4104294,이외 브랜드
720,2018-08-20 17:28:07,13701670,190000,100377446,4104294,이외 브랜드
717,2018-08-20 17:38:18,23490513,219000,100813718,4104294,이외 브랜드
440,2018-08-20 18:24:48,6030470,85000,101330313,4104294,이외 브랜드
373,2018-08-20 19:26:33,9802062,359000,100230823,4104294,이외 브랜드
356,2018-08-20 20:29:53,9802062,359000,100230823,4104294,이외 브랜드
174,2018-08-20 21:25:51,16558117,125000,101330520,4104294,이외 브랜드
357,2018-08-20 23:31:06,10848051,359000,100230823,4104294,이외 브랜드
8,2018-08-21 02:24:12,25542579,259000,100445176,4104294,이외 브랜드
806,2018-08-21 06:16:38,10678087,99000,106385642,4104294,이외 브랜드
705,2018-08-21 07:25:42,17901560,189000,101633064,4104294,이외 브랜드
805,2018-08-21 07:55:44,5495371,99000,106385642,4104294,이외 브랜드
175,2018-08-21 09:38:27,18184946,125000,101330520,4104294,이외 브랜드
756,2018-08-21 09:40:44,9409582,599000,100229504,4104294,이외 브랜드
290,2018-08-21 12:06:50,4394253,176000,100926807,4104294,이외 브랜드
49,2018-08-21 14:25:18,1341244,109000,100077126,4104294,이외 브랜드
51,2018-08-21 14:29:42,1341244,109000,100077126,4104294,이외 브랜드
